BRANCH,TIME,region
SYD,11,1
SEL,9,1
TYO,9,1
CTU,8,2
DLC,8,2
HGH,8,2
HKG,8,2
MNL,8,2
NGB,8,2
NKG,8,2
PEN,8,2
SHA,8,2
SIA,8,2
SIN,8,2
SZV,8,2
SZX,8,2
TAO,8,2
TPE,8,2
TSN,8,2
WUH,8,2
XMN,8,2
ZIX,8,2
CAN,8,2
CKG,8,2
BJS,8,2
JKT,7,3
PNH,7,3
SGN,7,3
BKK,7,3
DAC,6,3
DEL,5,3
CMB,5,3
LHE,5,3
DXB,4,3
MCT,4,3
AUH,4,3
DOH,3,4
IST,3,4
JED,3,4
KWI,3,4
BAH,3,4
HEL,2,4
VNO,2,4
AMM,2,4
BUH,2,4
ATH,2,4
BEY,2,4
JNB,2,4
CAI,2,4
FRA,1,5
LUG,1,5
MAD,1,5
MIL,1,5
OSL,1,5
PRG,1,5
STO,1,5
VIE,1,5
WAW,1,5
BRU,1,5
BUD,1,5
CDG,1,5
AMS,1,5
CPH,1,5
DUB,0,6
LHR,0,6
LIS,0,6
SAO,-2,6
MVD,-3,7
BUE,-3,7
SCL,-3,7
SDQ,-4,7
YYZ,-5,7
LIM,-5,7
PTY,-5,7
BOG,-5,7
MEX,-6,7
SJO,-6,7
GUA,-6,7
CHQ,-8,7
